number,title,Place
162,黒の組織の影[幼い目撃者／奇妙な照明],杯戸大橋
163,黒の組織の影[幼い目撃者／奇妙な照明],杯戸中央橋
164,黒の組織の影[幼い目撃者／奇妙な照明],杯戸新橋
165,黒の組織の影[幼い目撃者／奇妙な照明],タトゥーショップNAILSNAKE
161,黒の組織の影[謎の高額報酬／真珠の流れ星],ジンのポルシェ356A
162,黒の組織の影[謎の高額報酬／真珠の流れ星],喫茶ポアロ
163,黒の組織の影[謎の高額報酬／真珠の流れ星],鳥矢町3丁目の公園
164,黒の組織の影[謎の高額報酬／真珠の流れ星],船本家
162,割れない雪だるま,群馬のスキー場
163,割れない雪だるま,博士のビートル
163,服部平次との3日間[1],桜祭り会場
164,服部平次との3日間[1],昇岳寺
165,服部平次との3日間[1],昇岳寺の離れ
164,服部平次との3日間[2],毛利探偵事務所
165,服部平次との3日間[2],クルーザー船内
166,服部平次との3日間[2],孤島のロッジ
165,元太の必殺シュート,スタジアム
166,元太の必殺シュート,場外馬券場に近いデパートの地下駐車場
167,元太の必殺シュート,ケーキショップ「イケナカ」
168,元太の必殺シュート,喫茶ポアロ
166,工藤新一少年の冒険,帝丹小学校図書室
167,工藤新一少年の冒険,毛利家
168,工藤新一少年の冒険,工藤家
169,工藤新一少年の冒険,阿笠博士のビートル
170,工藤新一少年の冒険,杯戸港
171,工藤新一少年の冒険,鳥矢水門
172,工藤新一少年の冒険,踏切
173,工藤新一少年の冒険,奥穂郵便局
174,工藤新一少年の冒険,米花町区役所出張所
167,妃英理弁護士の恋,妃法律事務所
168,妃英理弁護士の恋,ドッグカフェ
169,妃英理弁護士の恋,カラオケスナックJ&P
168,本庁の刑事恋物語8[左手の薬指],警視庁
169,本庁の刑事恋物語8[左手の薬指],奥多摩にある諸口の別荘
169,山姥の刃物,群馬の山奥
170,山姥の刃物,田中家
170,黒い写真の行方,阿笠博士の家
171,黒い写真の行方,西郡宗兵の自宅マンション
171,赤と黒のクラッシュ[発端／血縁],毛利探偵事務所
172,赤と黒のクラッシュ[発端／血縁],西米花病院
173,赤と黒のクラッシュ[発端／血縁],ハンバーガーショップ
174,赤と黒のクラッシュ[発端／血縁],競馬場
175,赤と黒のクラッシュ[発端／血縁],庵野家
172,赤と黒のクラッシュ[血縁／絶叫／冥土],杯戸中央病院
173,赤と黒のクラッシュ[血縁／絶叫／冥土],毛利探偵事務所
174,赤と黒のクラッシュ[血縁／絶叫／冥土],奥平家
173,テレビ局の悪魔,日売TV
174,逃亡者,喫茶ポアロ
175,逃亡者,競馬場
176,逃亡者,フレンチカフェ
177,逃亡者,映画館
178,逃亡者,阿笠博士の家
175,赤と黒のクラッシュ[昏睡／侵入],毛利探偵事務所
176,赤と黒のクラッシュ[昏睡／侵入],杯戸中央病院
177,赤と黒のクラッシュ[昏睡／侵入],阿笠博士の家
178,赤と黒のクラッシュ[昏睡／侵入],FBIのワンボックスカー
176,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],ジンのポルシェ356A
177,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],杯戸中央病院
178,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],水無怜奈の病室
179,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],ファミリーレストランHAIDO
180,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],TR杯戸駅
181,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],HAIDOCINEMA
182,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],橋
183,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],杯戸中央病院の駐車場
184,赤と黒のクラッシュ[覚醒／攪乱／偽装／遺言／嫌疑],幹線道路
177,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],杯戸中央病院
178,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],ジンのポルシェ356
179,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],ニュー米花ホテル
180,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],埠頭の倉庫街
181,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],来葉峠
182,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],警視庁
183,赤と黒のクラッシュ[嫌疑／潔白／決死／殉職],ジェイムズのベンツ
178,弁護士妃英理の証言,ヘアサロンHASAKA
179,弁護士妃英理の証言,小五郎の運転する車の中
180,弁護士妃英理の証言,ゴミ置き場
181,弁護士妃英理の証言,コンビニエンス・サンデーマート
179,風林火山迷宮の鎧武者／陰と雷光の決着,虎田家邸内
180,風林火山迷宮の鎧武者／陰と雷光の決着,龍尾家邸内
181,風林火山迷宮の鎧武者／陰と雷光の決着,流鏑馬稽古場
182,風林火山迷宮の鎧武者／陰と雷光の決着,虎田家馬小屋
183,風林火山迷宮の鎧武者／陰と雷光の決着,虎田邸近くの林
184,風林火山迷宮の鎧武者／陰と雷光の決着,埋蔵金探しの山小屋
185,風林火山迷宮の鎧武者／陰と雷光の決着,踏切
180,カラオケBOXの死角,書店
181,カラオケBOXの死角,3丁目のカラオケBOX
181,赤白黄色と探偵団／W暗号ミステリー,帝丹小学校
182,赤白黄色と探偵団／W暗号ミステリー,アパート木馬荘（米花町2丁目23番地）
183,赤白黄色と探偵団／W暗号ミステリー,阿笠博士の家
182,都市伝説の正体,米花公園
183,都市伝説の正体,マンション
184,都市伝説の正体,ハンマー男の部屋
185,都市伝説の正体,警視庁
186,都市伝説の正体,奥穂町3丁目のパチンコ店
183,殺意はコーヒーの香り,毛利探偵事務所
184,殺意はコーヒーの香り,20階にある中目プロデューサーのマンション
184,怪盗キッドの瞬間移動魔術[テレポーテーションマジック],鈴木次郎吉邸
185,怪盗キッドの瞬間移動魔術[テレポーテーションマジック],錦座4丁目交差点
186,怪盗キッドの瞬間移動魔術[テレポーテーションマジック],ビルの屋上
185,憎しみの青い火花,博士のビートル車内
186,憎しみの青い火花,周藤の別荘
187,憎しみの青い火花,別荘のガレージ
188,憎しみの青い火花,博士の家
186,推理対決!新一vs.沖矢昴,帝丹小学校
187,推理対決!新一vs.沖矢昴,工藤家
188,推理対決!新一vs.沖矢昴,ニュー米花ホテル
189,推理対決!新一vs.沖矢昴,米花タワーマンション
187,真犯人からの届け物,喫茶ポアロ
188,真犯人からの届け物,梓の部屋
188,柔よく謎を制す,妃法律事務所
189,柔よく謎を制す,妃法律事務所近くのホテル
190,柔よく謎を制す,有沢家
191,柔よく謎を制す,毛利探偵事務所
189,殺人犯、工藤新一／新一の正体に蘭の涙,東奥穂村
190,殺人犯、工藤新一／新一の正体に蘭の涙,阿笠博士の家
190,本当に聞きたいコト,東奥穂村
191,本当に聞きたいコト,レンタカー車内
192,本当に聞きたいコト,高速道路
193,本当に聞きたいコト,博士のビートル車内
191,回転寿司ミステリー,服部平次の家
192,回転寿司ミステリー,博士のビートル車内
193,回転寿司ミステリー,回転寿司旋風剣
194,回転寿司ミステリー,回転寿司かざぐるま
192,犯人は元太の父ちゃん,帝丹小学校
193,犯人は元太の父ちゃん,日売TV
193,霧にむせぶ魔女,群馬県冬名山
194,霧にむせぶ魔女,レンタカー車内
195,霧にむせぶ魔女,警視庁
196,霧にむせぶ魔女,毛利探偵事務所
194,魚が消える一角岩,神奈川の埠頭
195,魚が消える一角岩,一角岩
195,初恋の傷跡／過去を呼ぶ傷跡,毛利探偵事務所
196,初恋の傷跡／過去を呼ぶ傷跡,庄堂家
196,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,塩葉埠頭
197,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,サウナ
198,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,歩美のマンション
199,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,警視庁
200,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,平棟の部屋
201,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,坊川家
202,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,麦田家
203,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,鍋井家
204,新たなる傷跡と口笛の男／古き傷跡と刑事の魂,東京警察病院
197,怪盗キッドvs.最強金庫,喫茶ポアロ
198,怪盗キッドvs.最強金庫,鈴木次郎吉邸
198,探偵団vs.強盗団[騒然／沈黙],米花酒店
199,探偵団vs.強盗団[騒然／沈黙],ていと銀行
199,危険な2人連れ,毛利探偵事務所
200,危険な2人連れ,山梨のバス停
201,危険な2人連れ,ドライブイン
200,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],希望の館
201,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],翠川尚樹宅
202,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],山吹デザイン事務所
203,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],スタジオ・モモセ
204,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],直木司郎のアパート
205,死亡の館、赤い壁[三顧の礼／掌中の物／死せる孔明／空城の計],新野病院
201,白鳥警部、桜の思い出,警視庁捜査一課
202,白鳥警部、桜の思い出,杯戸シネマ
203,白鳥警部、桜の思い出,笠倉那海の自宅マンション
202,もののけ倉でお宝バトル,帝丹小学校
203,もののけ倉でお宝バトル,毛利探偵事務所
204,もののけ倉でお宝バトル,米花町5丁目にある民家の倉
205,もののけ倉でお宝バトル,阿笠博士宅
206,もののけ倉でお宝バトル,帝丹小学校職員室
203,恥ずかしいお守りの行方,毛利探偵事務所
204,恥ずかしいお守りの行方,帝丹大学テニス部部室
205,恥ずかしいお守りの行方,国末の友人宅マンション
206,恥ずかしいお守りの行方,渋谷のスポーツバー
204,黒きドレスのアリバイ,久瀬未紘のマンション
205,黒きドレスのアリバイ,新宿の喫茶店
206,黒きドレスのアリバイ,原宿
207,黒きドレスのアリバイ,代々木公園のトイレ
208,黒きドレスのアリバイ,ゴスロリショップ
205,危機呼ぶ赤い前兆[オーメン],ケーキ屋
206,危機呼ぶ赤い前兆[オーメン],米花駅
206,黒き13の暗示[サジェスト]／迫る黒の刻限[タイムリミット]／赤く揺れる照準[ターゲット],ジンのポルシェ356
207,黒き13の暗示[サジェスト]／迫る黒の刻限[タイムリミット]／赤く揺れる照準[ターゲット],毛利探偵事務所
208,黒き13の暗示[サジェスト]／迫る黒の刻限[タイムリミット]／赤く揺れる照準[ターゲット],米花百貨店
207,小林先生の恋／白鳥警部の失恋／時を超える桜の恋,警視庁
208,小林先生の恋／白鳥警部の失恋／時を超える桜の恋,帝丹小学校
208,最悪な誕生日[バースデー],毛利探偵事務所
209,最悪な誕生日[バースデー],妃法律事務所
210,最悪な誕生日[バースデー],静岡シーサイドホテル
209,闇に消えた麒麟の角／キッドvs.四神探偵団,帝丹小学校
210,闇に消えた麒麟の角／キッドvs.四神探偵団,鈴木次郎吉邸
211,闇に消えた麒麟の角／キッドvs.四神探偵団,山寺
212,闇に消えた麒麟の角／キッドvs.四神探偵団,毛利探偵事務所
210,猿と熊手のトリ物帖,乱舞璃神社
211,猿と熊手のトリ物帖,毛利探偵事務所
211,沼底からの依頼,群馬県朽橋村
212,湯煙密室のシナリオ,箱根温泉湖望旅館
213,裏切りのホワイトデー,浦井邸
214,裏切りのホワイトデー,毛利探偵事務所
215,裏切りのホワイトデー,杯戸シティホテル
214,日記が奏でる秘密,山奥の別荘
215,コナンキッドの龍馬お宝攻防戦,警視庁
216,コナンキッドの龍馬お宝攻防戦,鈴木大博物館
216,被害者はクドウシンイチ／犬伏城炎の魔犬,毛利探偵事務所
217,被害者はクドウシンイチ／犬伏城炎の魔犬,工藤家
218,被害者はクドウシンイチ／犬伏城炎の魔犬,犬伏家
219,被害者はクドウシンイチ／犬伏城炎の魔犬,崖の上
220,被害者はクドウシンイチ／犬伏城炎の魔犬,古びた小屋
217,千葉刑事の初恋,帝丹小学校
218,ホームズの黙示録,喫茶ポアロイギリス飛行機内ロンドンヒースロー空港シャーロック・ホームズ博物館ウインブルドン・センターコートスコットランド・ヤード大英博物館バッキンガム宮殿ハイド・パークベイカー街シティーホールセント・ブライド教会エレファント&キャッスル駅ビッグベンガーキンウォルトン通り
219,緊急事態２５２,廃ビル
220,絶叫手術室［オペルーム］,米花大学
221,カルタ取り危機一髪,毛利探偵事務所
222,カルタ取り危機一髪,歩美の住むマンション
223,カルタ取り危機一髪,浦船家
222,時の番人の刃,毛利探偵事務所
223,時の番人の刃,保科家
223,死ぬほど美味いラーメン,毛利探偵事務所
224,死ぬほど美味いラーメン,ラーメン小倉
224,幽霊ホテルの推理対決,杯戸ホテル
225,幽霊ホテルの推理対決,帝丹高校
225,探偵事務所籠城事件,帝丹高校
226,探偵事務所籠城事件,毛利探偵事務所
227,探偵事務所籠城事件,阿笠邸
228,探偵事務所籠城事件,降塚屋
226,動画サイト誘拐事件,阿笠邸
227,コナンVS平次東西探偵推理勝負,毛利探偵事務所
228,コナンVS平次東西探偵推理勝負,レストランダニーズ
228,毒と幻のデザイン,毛利探偵事務所
229,毒と幻のデザイン,若松邸
229,小五郎さんはいい人,桐谷貴江の自宅
230,小五郎さんはいい人,ビアガーデン
231,小五郎さんはいい人,桐谷貴江のアパート
230,初恋の共同捜査,米花町の駐車場
231,初恋の共同捜査,デパートの地下駐車場
232,初恋の共同捜査,警視庁
231,ウェディング・イブ,RistoranteSundayrino
232,ウェディング・イブ,喫茶ポアロ
232,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],毛利探偵事務所
233,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],レストランコロンボ
234,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],樫塚圭のマンション
235,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],阿笠博士の家
236,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],豊北倫子のアパート
237,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],振屋栄絵のアパート
238,探偵たちの夜想曲[ノクターン］[事件／誘拐／推理／バーボン],手川隆代のアパート
233,１ミリも許さない,紺野夫婦の家
234,１ミリも許さない,米花総合病院
234,命を賭けた恋愛中継[中継開始／絶体絶命／現場突入],警視庁
235,命を賭けた恋愛中継[中継開始／絶体絶命／現場突入],羽田空港
236,命を賭けた恋愛中継[中継開始／絶体絶命／現場突入],笛本隆策のマンション
237,命を賭けた恋愛中継[中継開始／絶体絶命／現場突入],北海道
238,命を賭けた恋愛中継[中継開始／絶体絶命／現場突入],狛前町
235,泡と湯気と煙,毛利探偵事務所
236,泡と湯気と煙,高層マンション
237,泡と湯気と煙,スキー場
238,泡と湯気と煙,警視庁
236,工藤優作の未解決事件[コールド・ケース],公園
237,工藤優作の未解決事件[コールド・ケース],帝丹小学校
238,工藤優作の未解決事件[コールド・ケース],工藤新一の家
239,工藤優作の未解決事件[コールド・ケース],警視庁
237,灰原の秘密に迫る影,群馬のキャンプ場
238,灰原の秘密に迫る影,喫茶アポロ
239,灰原の秘密に迫る影,山小屋
240,灰原の秘密に迫る影,毛利探偵事務所
241,灰原の秘密に迫る影,工藤新一の家
238,漆黒の特急[ミステリートレイン][発車／隧道／交差／終点],東京駅
239,漆黒の特急[ミステリートレイン][発車／隧道／交差／終点],ベルツリー急行列車
240,漆黒の特急[ミステリートレイン][発車／隧道／交差／終点],名古屋駅
239,密室にいるコナン／謎解きするバーボン,阿笠博士の自宅
240,密室にいるコナン／謎解きするバーボン,伊豆高原の鈴木財閥の別荘
241,密室にいるコナン／謎解きするバーボン,桃園琴音の別荘
240,コナンvs．キッド赤面の人魚[ブラッシュマーメイド],警視庁
241,コナンvs．キッド赤面の人魚[ブラッシュマーメイド],鈴木財閥博物館
241,みんなが見ていた,毛利探偵事務所
242,みんなが見ていた,杯戸町のマンション
242,服部平次と吸血鬼館,寅倉家の洋館
243,服部平次と吸血鬼館,群馬県警
243,甘く冷たい宅配便,公園
244,甘く冷たい宅配便,空港
